,caseno,country,region,add1yr,age,agehrp,aggdtwpew11g,ahchuk11,carer,carsnoc,cenheat,clients01,clients02,clients03,clients04,clients05,clients06,clients07,clients08,clients09,clients10,clients11,clients12,clients13,clients14,clients15,clients16,clients17,clients18,clients19,clients20,clients21,cobg,cobhukrc,concealed,depedhuk11,depemhuk11,dephdhuk11,dephshuk11,deprived,disability,dpcfamuk11,ecopuk,empstat,estnaturei,ethhuk11,ethnicityew,everwork,fmspuk11,health,hhldlang11,hlqupuk11,hours,housecarer,identity,illhuk11g,indgpuk11,intention,iscog,landlordew,langprf,larpuk,lastyrwrkg,mainglangg,marstat,meighuk11,mighuk11,mltrlg,movefromg,moveregion,natidbpuk11,natidepuk11,natidipuk11,natidnipuk11,natidopuk11,natidspuk11,natidwpuk11,nssec,nsshuk11,occg,passports,penexactpuk11,penhuk11,penpuk11,popbasesec,position,pproomhuk11,psptelog,relato,religionew,residtype,rtntypeg,samesex,scaddtyp,scghuk11,scgpuk11c,selfcon,sex,single,sizhuk,socmin,sscaddcpew11,stapuk11,student,supervisor,tenduk11,tenure,transport,typaccom,unemphist,visitorsg,wg1famuk11,wkpladdewni,wlshread,wlshspeak,wlshstnd,wlshwrit,wpzhome,wrkplaceew,yradindstud,yrarryearg
762832,456990,1,2,1,70,70,-9,5,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,12,1,-9,1,1,1,3,2,1,13,-9,0,-9,0,15,-9,96,-9,-9,1,7,1,2,2,0,2,1,-9,1,4,7,4,3,4,4,25,13,92,1,1,6,1,1,-9,1,-9,1,2,2,1,-9,-9,-9,-9,1,1,2,2,924,1,-9,2,2,0,1,-9,2,10,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
2092394,168288,1,9,1,70,70,6,1,1,1,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,0,0,0,0,1,3,-9,4,3,-9,1,1,-9,1,1,1,15,4,0,-9,0,13,-9,24,3,-9,8,1,1,5,1,0,1,1,-9,1,4,7,4,3,4,4,11,11,24,1,1,0,1,1,-9,1,-9,-9,1,2,1,-9,-9,-9,-9,1,1,1,1,242,1,-9,2,1,5,4,3,4,-9,0,-9,1,-9,-9,-9,-9,4,4,0,-9
1082717,347399,1,2,1,9,59,-9,9,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,1,0,3,3,4,-9,-9,-9,1,1,-9,4,1,1,-9,-9,2,-9,1,-9,-9,-9,1,-9,4,-9,1,1,2,0,2,1,-9,3,1,7,4,3,4,4,-9,13,-9,8,0,-9,0,1,-9,2,-9,10,2,2,2,-9,-9,2,-9,1,2,2,4,-9,1,1,1,-9,4,4,-9,2,-9,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
1676956,2153421,1,6,1,48,48,-9,2,2,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,0,1,1,0,3,2,-9,15,2,-9,1,1,1,2,3,1,14,-9,1,-9,1,7,-9,72,1,-9,11,6,1,6,1,0,1,1,-9,3,1,7,4,3,4,4,19,19,52,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,3,3,1,1,1,1,523,1,-9,2,1,4,4,-9,4,8,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9
794964,2024116,1,7,1,24,63,-9,10,1,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,16,16,2,0,0,1,0,2,3,1,13,1,-9,17,17,1,5,2,2,15,-9,0,-9,2,10,-9,26,2,-9,4,3,1,1,2,0,2,1,-9,1,4,7,4,3,4,4,38,36,34,1,0,-9,0,1,-9,2,-9,4,6,2,1,-9,-9,4,4,1,1,2,4,341,1,1,1,2,3,4,-9,2,2,0,0,-9,-9,-9,-9,-9,-9,-9,0,6
382675,2831696,1,9,1,70,75,-9,5,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,0,1,0,3,2,1,12,1,-9,1,1,1,3,3,1,10,-9,0,-9,1,14,-9,93,-9,-9,1,10,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,24,34,92,1,1,7,1,1,-9,1,-9,1,2,2,1,-9,-9,-9,-9,1,2,2,2,925,1,-9,2,2,0,1,-9,1,12,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
1960918,1909623,1,6,2,38,36,-9,6,1,2,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,8,14,1,-9,1,1,1,3,1,1,14,-9,0,-9,0,17,-9,33,-9,-9,1,6,1,2,2,1,5,3,7,3,1,7,4,3,4,4,13,33,42,1,0,-9,0,1,-9,2,-9,1,2,2,1,-9,-9,4,4,1,2,2,4,421,1,-9,2,2,1,2,-9,1,8,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
2744984,1983802,1,8,2,43,70,5,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,21,21,2,0,0,1,0,2,3,1,2,1,-9,13,13,-9,5,1,1,15,3,1,-9,1,17,-9,21,-9,-9,5,1,1,2,2,1,8,3,11,1,4,7,4,3,4,4,3,13,21,1,0,8,0,1,-9,1,-9,4,1,2,1,-9,-9,-9,2,1,2,2,3,211,1,-9,2,1,1,2,3,2,-9,0,0,1,-9,-9,-9,-9,4,4,0,6
1586760,752714,1,3,1,15,39,-9,9,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14,14,2,0,0,0,1,2,3,12,-9,-9,-9,14,14,-9,4,2,2,-9,-9,0,-9,0,-9,-9,-9,2,1,4,-9,9,1,2,0,2,1,-9,1,4,7,4,3,4,4,-9,25,-9,7,0,-9,0,1,-9,2,12,4,2,2,1,-9,-9,4,-9,2,1,2,5,-9,1,1,1,-9,3,4,-9,5,-9,0,2,-9,-9,-9,-9,-9,-9,-9,0,9
1320501,812329,1,1,1,20,45,-9,10,2,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,1,1,3,3,7,13,1,-9,1,1,1,8,1,1,12,-9,2,-9,1,18,-9,52,-9,-9,4,5,1,1,2,0,2,1,-9,3,1,7,4,3,4,4,38,21,71,8,0,-9,0,1,-9,1,-9,4,2,2,1,-9,-9,4,4,1,2,2,3,711,1,1,1,2,1,2,-9,2,5,0,1,-9,-9,-9,-9,-9,-9,-9,0,-9
2249567,1584653,1,2,1,47,61,1,10,2,3,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,4,2,0,0,0,0,1,3,1,1,1,-9,1,1,-9,3,1,1,12,2,1,-9,0,18,-9,44,-9,-9,1,1,1,2,2,0,2,1,-9,1,4,7,4,3,4,4,13,22,41,1,0,-9,0,1,-9,1,-9,1,2,2,1,-9,-9,2,2,1,2,2,3,413,1,-9,2,2,0,1,7,2,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
555218,170070,1,2,1,68,70,-9,5,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,1,0,2,1,1,12,1,-9,1,1,1,3,2,1,15,-9,0,-9,1,18,-9,34,-9,-9,1,11,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,7,4,34,1,1,6,1,1,-9,1,-9,1,2,2,1,-9,6,-9,-9,1,2,2,2,344,6,-9,2,2,0,1,-9,2,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
1459863,1435976,1,5,1,70,70,-9,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,6,2,0,1,1,0,3,1,1,12,1,-9,2,2,1,3,5,1,10,-9,0,-9,2,7,-9,44,-9,-9,1,11,1,2,3,0,2,1,-9,3,4,1,4,1,4,4,13,21,41,5,1,8,1,1,-9,1,-9,1,2,2,1,-9,-9,-9,-9,1,2,2,3,415,1,-9,2,2,0,1,-9,1,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,3
1411819,685949,1,5,3,20,25,2,6,1,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14,14,-9,0,0,0,1,2,3,-9,1,1,-9,14,14,-9,2,2,3,13,2,0,8,0,14,-9,91,1,1,4,1,9,1,3,2,6,9,6,3,4,7,4,1,4,4,34,21,92,1,0,-9,0,1,-9,2,-9,12,2,2,1,-9,-9,4,4,1,2,2,3,923,1,-9,2,2,4,4,7,4,-9,0,-9,1,-9,-9,-9,-9,3,3,0,8
1003898,2548134,1,9,1,40,40,1,2,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,0,0,1,1,3,2,-9,1,1,-9,1,1,-9,2,2,1,15,1,0,-9,1,16,-9,23,3,-9,4,1,1,1,1,0,1,1,-9,1,4,7,4,3,4,4,38,38,23,1,0,-9,0,1,-9,1,-9,-9,5,2,1,-9,-9,1,1,1,2,1,1,231,1,-9,2,2,5,4,10,5,-9,0,-9,1,-9,-9,-9,-9,3,3,0,-9
459946,2684065,1,8,3,33,33,4,6,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,8,2,0,0,0,0,1,3,2,2,1,-9,4,4,-9,3,1,3,15,3,0,2,0,3,-9,73,-9,1,1,1,2,2,2,1,2,5,10,3,4,7,4,1,4,4,22,22,52,7,0,-9,0,1,-9,1,7,-9,2,2,1,-9,-9,3,3,1,1,2,3,522,1,-9,2,2,1,2,6,2,-9,0,2,1,-9,-9,-9,-9,4,4,0,9
855407,1677669,1,6,1,20,55,4,10,1,3,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,2,1,-9,1,1,-9,5,2,1,12,3,0,-9,0,6,-9,71,-9,-9,4,1,1,1,2,0,5,1,-9,3,1,7,4,3,4,4,22,14,53,1,0,-9,0,1,-9,1,-9,4,1,2,2,-9,-9,2,2,1,1,2,3,531,1,-9,2,2,1,2,7,1,-9,1,2,1,-9,-9,-9,-9,3,3,0,-9
1932925,2720529,1,2,1,80,80,-9,5,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,4,2,0,0,1,0,2,1,1,12,1,-9,1,1,1,3,3,1,15,-9,1,-9,1,16,-9,23,-9,-9,1,11,1,2,2,0,2,1,-9,2,4,7,4,3,4,2,7,7,23,1,1,7,1,1,-9,1,-9,-9,2,2,1,-9,-9,-9,-9,1,2,2,2,231,1,-9,2,2,0,1,-9,1,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
793965,2017846,1,7,1,85,85,-9,1,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,25,25,-9,1,0,1,0,3,1,-9,12,1,-9,9,9,1,1,3,4,10,-9,0,19,1,15,-9,96,2,3,11,11,9,6,1,0,1,1,-9,3,4,7,4,1,4,4,31,31,92,4,1,5,1,1,-9,1,33,-9,2,2,1,-9,-9,-9,-9,1,2,1,1,924,1,-9,2,2,3,4,-9,4,12,0,-9,-9,-9,-9,-9,-9,-9,-9,0,5
1082532,344325,1,2,1,51,51,3,6,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,5,2,1,-9,1,1,-9,3,1,1,15,4,0,-9,0,16,-9,23,-9,-9,1,1,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,7,7,23,1,0,-9,0,1,-9,1,-9,-9,2,2,2,-9,-9,1,1,1,2,2,3,231,1,-9,2,1,1,2,7,1,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
2380726,2547918,1,9,1,49,49,6,10,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,7,2,1,-9,1,1,-9,3,2,1,15,3,0,-9,0,19,-9,12,-9,-9,1,1,1,2,2,0,5,1,-9,3,1,7,4,3,4,4,11,11,11,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,1,1,1,1,2,3,113,1,-9,2,1,1,2,3,3,-9,0,2,1,-9,-9,-9,-9,4,4,0,-9
2578157,1944877,1,10,1,90,90,-9,1,1,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,0,0,1,0,2,1,-9,12,1,-9,1,1,1,1,2,1,12,-9,0,-9,1,16,-9,53,-9,-9,11,11,1,6,1,0,1,1,-9,3,1,7,4,3,4,4,12,12,61,1,1,5,1,1,-9,1,-9,-9,2,2,1,-9,-9,-9,-9,1,2,1,1,612,1,-9,2,1,0,1,-9,4,12,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9
2665681,2828179,1,9,1,12,43,-9,8,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,1,1,1,5,3,16,-9,-9,-9,1,1,-9,4,1,1,-9,-9,1,-9,1,-9,-9,-9,2,-9,4,-9,1,1,2,0,5,1,-9,3,1,7,4,3,4,4,-9,33,-9,1,0,-9,0,1,-9,3,-9,4,2,2,1,-9,-9,4,-9,1,2,2,6,-9,1,1,1,-9,3,4,-9,4,-9,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
169946,868555,1,3,1,6,41,-9,6,1,0,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,1,1,0,4,3,9,-9,-9,-9,1,1,-9,4,1,1,-9,-9,1,-9,1,-9,-9,-9,2,-9,4,-9,1,1,2,0,3,1,-9,3,1,7,4,3,4,4,-9,34,-9,1,0,-9,0,1,-9,2,-9,4,1,2,1,-9,-9,4,-9,1,1,2,4,-9,1,1,1,-9,3,4,-9,1,-9,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
1622779,2197002,1,9,1,43,43,-9,2,1,1,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,0,1,1,1,4,1,-9,15,1,-9,1,1,1,2,4,1,12,-9,0,-9,1,7,-9,75,2,-9,4,4,1,1,1,0,1,1,-9,1,4,7,4,3,4,4,22,22,54,1,0,-9,0,1,-9,2,-9,-9,1,2,1,-9,-9,4,4,1,1,1,1,543,1,-9,2,2,3,4,-9,4,3,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9
1267482,669162,1,5,1,11,41,-9,6,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,1,0,2,3,11,-9,-9,-9,1,1,-9,4,1,1,-9,-9,0,-9,1,-9,-9,-9,2,-9,4,-9,1,1,2,0,5,1,-9,3,1,7,4,3,4,4,-9,27,-9,8,0,-9,0,1,-9,2,-9,4,2,2,1,-9,-9,4,-9,1,2,2,4,-9,1,1,1,-9,3,4,-9,2,-9,0,2,-9,-9,-9,-9,-9,-9,-9,0,-9
66376,196448,1,2,1,26,26,1,6,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,8,2,1,1,0,0,3,3,2,2,1,-9,4,4,-9,3,1,4,10,3,0,2,0,7,-9,72,3,1,3,1,2,1,2,0,2,1,-9,3,4,7,4,1,4,4,22,22,52,7,0,-9,0,1,-9,2,7,-9,2,2,1,-9,-9,3,3,1,1,2,3,523,1,-9,2,2,5,4,4,3,-9,0,1,1,-9,-9,-9,-9,3,3,0,9
419574,2621446,1,5,1,85,85,-9,1,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,4,-9,0,0,0,0,1,3,-9,12,1,-9,1,1,1,1,2,1,15,-9,0,-9,0,16,-9,23,-9,-9,11,11,1,6,1,0,1,1,-9,1,4,7,4,3,4,4,7,7,23,1,1,5,1,1,-9,1,-9,-9,2,2,2,-9,-9,-9,-9,1,2,1,1,231,1,-9,2,2,0,1,-9,3,12,0,-9,-9,-9,-9,-9,-9,-9,-9,0,-9
148428,261503,1,7,1,34,34,3,9,1,0,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,21,21,2,0,0,0,1,2,3,3,2,1,-9,4,4,-9,3,1,4,15,3,0,15,0,9,-9,94,3,1,1,1,9,2,2,0,2,1,-9,3,4,7,4,1,4,4,21,21,92,7,0,-9,0,1,-9,3,25,-9,2,2,2,-9,-9,4,4,1,1,2,4,927,1,-9,2,1,5,4,4,6,-9,3,2,1,-9,-9,-9,-9,4,4,0,10
1733967,2370685,1,5,1,46,46,8,6,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,0,0,0,0,1,3,12,2,1,-9,1,1,-9,6,1,1,15,3,0,-9,0,17,-9,22,-9,-9,8,1,1,5,2,0,2,1,-9,1,4,7,4,3,4,4,7,7,22,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,2,2,1,2,1,3,223,1,-9,2,1,1,2,7,2,-9,0,1,2,-9,-9,-9,-9,1,2,0,-9
2669866,2496220,1,10,1,53,53,3,7,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,1,1,-9,1,1,-9,3,1,1,14,2,1,-9,0,15,-9,33,-9,-9,1,1,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,7,13,35,1,0,-9,0,1,-9,1,-9,1,2,2,1,-9,-9,2,2,1,2,2,2,356,1,-9,2,1,1,2,8,1,-9,0,2,1,-9,-9,-9,-9,4,4,0,-9
1224295,1200650,1,4,1,50,50,-9,7,3,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,1,0,3,3,1,7,1,-9,1,1,1,3,2,1,12,-9,1,-9,1,7,-9,93,2,-9,1,8,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,37,37,92,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,4,4,1,1,2,2,926,1,-9,2,2,3,4,-9,2,12,0,0,-9,-9,-9,-9,-9,-9,-9,0,-9
172487,2436878,1,4,2,28,25,3,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,1,2,0,0,0,0,1,3,1,9,1,-9,1,4,-9,3,1,2,15,4,0,2,0,13,-9,31,6,2,3,1,2,1,4,2,5,2,5,3,4,7,4,1,4,4,38,7,31,7,0,-9,0,1,-9,1,7,3,2,2,2,-9,-9,2,2,1,1,2,2,311,1,7,1,1,9,5,7,3,-9,0,2,1,-9,-9,-9,-9,4,4,0,9
636199,2078460,1,8,1,70,70,-9,1,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,6,-9,1,0,1,0,3,1,-9,12,-9,-9,1,1,2,1,4,1,10,-9,0,-9,1,-9,-9,-9,-9,-9,11,-9,1,6,1,0,1,1,-9,1,4,7,4,3,4,4,36,36,-9,1,1,3,1,1,-9,1,-9,-9,9,2,1,-9,-9,-9,-9,1,2,1,1,-9,1,-9,2,-9,0,1,-9,3,13,0,-9,-9,-9,-9,-9,-9,-9,-9,0,1
2392692,2613663,1,9,1,61,63,2,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,0,0,0,2,3,1,1,1,-9,1,1,-9,3,2,1,10,1,0,-9,0,9,-9,52,-9,-9,1,1,1,2,2,0,5,1,-9,3,1,7,4,3,4,4,24,22,71,1,1,-9,0,1,-9,1,-9,1,2,2,1,-9,-9,3,3,1,2,2,3,711,1,-9,2,2,1,2,7,1,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
2307690,724627,1,3,1,53,53,2,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1,0,0,0,2,3,1,2,1,-9,1,1,-9,3,2,1,10,3,1,-9,0,3,-9,93,-9,-9,3,1,1,5,2,0,2,1,-9,3,1,7,4,3,4,4,34,34,92,1,0,-9,0,1,-9,1,-9,-9,2,2,1,-9,-9,4,4,1,1,2,2,926,1,-9,2,2,1,2,8,2,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
1639853,1228360,1,9,1,55,55,1,10,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,1,0,0,2,3,1,1,1,-9,1,1,-9,3,2,1,15,2,0,-9,0,16,-9,23,-9,-9,1,1,1,2,2,0,2,1,-9,3,1,7,4,3,4,4,3,4,23,1,0,-9,0,1,-9,1,-9,1,2,2,1,-9,-9,1,1,1,2,2,3,231,1,-9,2,2,1,2,10,3,-9,0,2,1,-9,-9,-9,-9,3,3,0,-9
473496,964648,1,7,1,80,80,-9,1,1,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,24,24,-9,1,0,0,0,2,3,-9,12,1,-9,15,15,1,1,3,1,10,-9,0,-9,0,7,-9,54,-9,-9,8,5,1,5,1,0,1,1,-9,1,4,7,4,3,4,4,25,25,92,1,1,1,1,1,-9,1,-9,-9,2,2,1,-9,-9,-9,-9,1,1,1,1,924,1,-9,2,2,0,1,-9,2,5,0,-9,-9,-9,-9,-9,-9,-9,-9,0,3
500230,2440707,1,4,3,27,27,7,7,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,0,0,0,0,1,3,1,2,1,-9,1,1,-9,3,1,1,15,3,0,-9,0,15,-9,2,5,-9,3,1,1,4,2,2,2,15,9,3,1,7,4,3,4,4,12,12,33,1,0,-9,0,1,-9,1,-9,-9,2,2,2,-9,-8,2,2,1,1,2,2,331,2,-9,2,1,7,4,7,3,-9,0,2,1,-9,-9,-9,-9,4,4,0,-9
